frame_index,cx,cy,w,h
0,213,207,6,2
1,105,20,3,3
2,78,78,3,3
3,59,131,1,2
4,0,0,0,0
5,0,0,0,0
6,38,241,1,1
7,0,0,0,0
8,44,249,3,3
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,101,121,4,3
13,133,71,1,1
14,169,20,3,3
15,0,0,0,0
16,149,228,1,1
17,955,364,3,2
18,956,400,2,1
19,282,192,13,11
20,51,66,51,33
21,171,110,641,358
22,576,340,1227,717
23,772,462,1082,617
24,17,46,46,40
25,238,191,19,18
26,220,215,11,6
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,302,14,4,5
32,278,52,1,1
33,262,83,4,4
34,251,112,4,5
35,248,132,5,4
36,248,145,5,4
37,256,148,4,5
38,267,143,4,5
39,285,129,4,5
40,309,108,4,5
41,341,83,5,5
42,379,56,5,4
43,426,30,5,5
44,478,9,4,5
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,708,4,6,6
49,757,21,6,6
50,799,41,6,6
51,835,63,6,6
52,864,83,5,6
53,888,99,6,6
54,907,110,6,5
55,925,115,7,6
56,940,113,7,6
57,953,103,7,7
58,967,86,8,5
