frame_index,cx,cy,w,h
0,666,380,84,7
1,1355,341,34,10
2,1348,298,36,15
3,371,255,8,9
4,345,275,9,9
5,1636,293,34,17
6,317,315,9,10
7,1654,351,23,15
8,1666,352,25,16
9,344,317,9,10
10,1737,269,31,14
11,1740,325,76,35
12,428,266,8,8
13,452,250,9,8
14,491,199,9,9
15,536,150,9,9
16,578,293,29,8
17,639,73,9,8
18,23,362,50,14
19,21,290,44,17
20,20,233,43,18
21,427,436,24,26
22,418,430,24,26
23,408,435,26,30
24,395,450,22,27
25,42,295,41,10
26,8,357,21,7
27,547,370,27,7
28,508,282,12,3
29,472,334,10,4
30,453,393,4,2
31,223,167,6,3
32,541,353,4,2
33,581,261,6,4
34,572,290,9,9
35,570,305,11,9
36,572,312,10,11
37,579,314,11,11
38,590,313,13,13
39,605,307,12,11
40,629,288,14,12
41,661,262,13,13
42,700,235,12,13
43,746,210,13,13
44,799,189,13,14
45,856,175,13,14
46,916,170,13,13
47,973,173,14,14
48,1028,184,15,15
49,1077,201,14,15
50,1119,222,17,15
51,1155,243,15,15
52,1184,262,15,17
53,1208,279,15,18
54,1227,290,15,16
55,1245,295,15,18
56,1260,293,15,17
57,1274,284,15,18
58,1287,267,18,17
